name,director,actors,genre,other,year,link
Bathing Beauty,George Sidney,NA,Musical,MGM,1944,/wiki/Bathing_Beauty
Batman,Lambert Hillyer,NA,Action,Columbia,1943,/wiki/Batman_(serial)
Batman,Leslie H. Martinson,NA,"Comedy, action",NA,1966,/wiki/Batman_(1966_film)
Batman,Tim Burton,NA,NA,top-grossing film of 1989,1989,/wiki/Batman_(1989_film)
Batman and Robin,S.G. Bennet,NA,Serial,NA,1949,/wiki/Batman_and_Robin_(serial)
Batman and Robin,Joel Schumacher,NA,NA,NA,1997,/wiki/Batman_%26_Robin_(film)
Batman Begins,Christopher Nolan,NA,Superhero,NA,2005,/wiki/Batman_Begins
Batman Dracula,Andy Warhol,NA,Avant-garde,NA,1964,/wiki/Batman_Dracula
Batman Forever,Joel Schumacher,NA,Superhero,NA,1995,/wiki/Batman_Forever
Batman Returns,Tim Burton,NA,Superhero,NA,1992,/wiki/Batman_Returns
Batman: Mask of the Phantasm,Bruce W. Timm,NA,Animated,NA,1993,/wiki/Batman:_Mask_of_the_Phantasm
Batman: The Dark Knight Returns,Jay Oliva,NA,Superhero,NA,2012,/wiki/Batman:_The_Dark_Knight_Returns_(film)
Bats,Louis Morneau,NA,Horror,NA,1999,/wiki/Bats_(film)
Batteries Not Included,Matthew Robbins,NA,Science fiction,NA,1987,/wiki/Batteries_Not_Included
Battle at Bloody Beach,Herbert Coleman,NA,War,20th Century Fox,1961,/wiki/Battle_at_Bloody_Beach
Battle Beyond the Stars,Jimmy Murakami,NA,Sci-fi,NA,1980,/wiki/Battle_Beyond_the_Stars
Battle Circus,John Huston,NA,Drama,MGM,1953,/wiki/Battle_Circus_(film)
Battle Cry,Raoul Walsh,NA,War,NA,1955,/wiki/Battle_Cry_(film)
Battle for Terra,Aristomenis Tsirbas,NA,"Science fiction, Animated",Lionsgate,2009,/wiki/Battle_for_Terra
Battle for the Planet of the Apes,J. Lee Thompson,NA,Science fiction,NA,1973,/wiki/Battle_for_the_Planet_of_the_Apes
Battle Hymn,Douglas Sirk,NA,War,Universal International,1957,/wiki/Battle_Hymn_(film)
Battle of Broadway,George Marshall,NA,Comedy,Fox,1938,/wiki/Battle_of_Broadway
Battle of Greed,Howard Higgin,NA,Western,NA,1937,/wiki/Battle_of_Greed
Battle of the Bulge,Ken Annakin,NA,War drama,Warner Bros.,1965,/wiki/Battle_of_the_Bulge_(film)
Battle of the Coral Sea,Paul Wendkos,NA,Adventure,Columbia,1959,/wiki/Battle_of_the_Coral_Sea_(film)
Battle Stations,Lewis Seiler,NA,War,Columbia,1956,/w/index.php?title=Battle_Stations_(1956_film)&action=edit&redlink=1
Battle Taxi,Herbert L. Strock,NA,War drama,United Artists,1955,/wiki/Battle_Taxi
Battle Zone,Lesley Selander,NA,War,Allied Artists,1952,/wiki/Battle_Zone_(film)
Battle: Los Angeles,Jonathan Liebesman,NA,"Action, Science fiction",NA,2011,/wiki/Battle:_Los_Angeles
Battlefield Earth,Roger Christian,NA,Science fiction,NA,2000,/wiki/Battlefield_Earth_(film)
Battleground,William Wellman,NA,War,MGM,1949,/wiki/Battleground_(film)
Battles of Chief Pontiac,Felix E. Feist,NA,Western,Realart,1952,/wiki/Battles_of_Chief_Pontiac
Battlestar Galactica,Richard A. Colla,NA,Science fiction,pilot for TV series,1978,/wiki/Saga_of_a_Star_World
Baywatch the Movie: Forbidden Paradise,Douglas Schwartz,NA,Drama,TV,1995,/wiki/Baywatch_the_Movie:_Forbidden_Paradise
Be Cool,F. Gary Gray,NA,NA,NA,2005,/wiki/Be_Cool
Be Kind Rewind,Michel Gondry,NA,Comedy,New Line Cinema,2008,/wiki/Be_Kind_Rewind
Beach Blanket Bingo,William Asher,NA,"Comedy, Musical",A.I.P.,1965,/wiki/Beach_Blanket_Bingo
Beach Party,William Asher,NA,Comedy,AIP,1963,/wiki/Beach_Party
Beach Red,Cornel Wilde,NA,War,NA,1967,/wiki/Beach_Red
Beaches,Garry Marshall,NA,Drama,NA,1988,/wiki/Beaches_(film)
Beachhead,Stuart Heisler,NA,War,United Artists,1954,/wiki/Beachhead_(film)
Bean,Mel Smith,Rowan Atkinson,Comedy,NA,1997,/wiki/Bean_(1997_film)
Beanstalk Bunny,Chuck Jones,Looney Tunes,Animation,NA,1955,/wiki/Beanstalk_Bunny
BearCity,Doug Langway,NA,NA,NA,2010,/wiki/BearCity
Beast from Haunted Cave,Monte Hellman,NA,Sci-fi,NA,1959,/wiki/Beast_from_Haunted_Cave
Beastly,Daniel Barnz,NA,Fantasy romance,NA,2011,/wiki/Beastly_(film)
Beat,Gary Walkow,NA,Drama,NA,2000,/wiki/Beat_(2000_film)
Beat Street,Stan Lathan,NA,NA,NA,1984,/wiki/Beat_Street
Beat the Band,John H. Auer,Frances Langford,Musical,RKO,1947,/wiki/Beat_the_Band_(film)
Beat the Devil,John Huston,NA,Comedy,NA,1953,/wiki/Beat_the_Devil_(1953_film)
"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",Michael Rapaport,NA,Documentary,Sony Pictures Classics,2011,"/wiki/Beats,_Rhymes_%26_Life:_The_Travels_of_a_Tribe_Called_Quest"
Beau Brummell,Curtis Bernhardt,NA,Biography,NA,1954,/wiki/Beau_Brummell_(film)
Beau Geste,William A. Wellman,NA,Drama,Paramount,1939,/wiki/Beau_Geste_(1939_film)
Beau James,Melville Shavelson,NA,"Biography, drama",Paramount,1957,/wiki/Beau_James
Beautiful,Sally Field,NA,Comedy,Destination Films,2000,/wiki/Beautiful_(2000_film)
Beautiful But Broke,Charles Barton,NA,Musical comedy,Columbia,1944,/wiki/Beautiful_But_Broke
Beautiful Girls,Ted Demme,NA,Romantic comedy,NA,1996,/wiki/Beautiful_Girls_(film)
Beautiful Joe,Stephen Metcalfe,NA,"Comedy, Drama",NA,2000,/wiki/Beautiful_Joe_(film)
Beautiful Stranger,David Miller,NA,Mystery,NA,1954,/wiki/Beautiful_Stranger_(film)
Beauty and the Beast,"Gary Trousdale, Kirk Wise",NA,Animated,NA,1991,/wiki/Beauty_and_the_Beast_(1991_film)
Beauty and the Beast,2 directors,NA,Animated,Japan,1992,/wiki/Beauty_and_the_Beast_(1992_film)
Beauty and the Beast: The Enchanted Christmas,NA,NA,Animated film,NA,1997,/wiki/Beauty_and_the_Beast:_The_Enchanted_Christmas
Beauty and the Boss,Roy Del Ruth,NA,"Comedy, Romance",NA,1932,/wiki/Beauty_and_the_Boss
Beauty for Sale,Richard Boleslawski,NA,Drama,NA,1933,/wiki/Beauty_for_Sale
Beauty for the Asking,Glenn Tryon,NA,Drama,RKO,1939,/wiki/Beauty_for_the_Asking
Beauty Parlor,Richard Thorpe,NA,Drama,Chesterfield,1932,/wiki/Beauty_Parlor
Beauty Shop,Bille Woodruff,Queen Latifah,Comedy,NA,2005,/wiki/Beauty_Shop
Beavis and Butt-Head Do America,Mike Judge,NA,Animated,NA,1996,/wiki/Beavis_and_Butt-Head_Do_America
Because I Said So,Michael Lehmann,NA,Romantic comedy,Universal Pictures,2007,/wiki/Because_I_Said_So_(film)
Because of Him,Richard Wallace,NA,Musical,NA,1946,/wiki/Because_of_Him
Because of Winn-Dixie,Wayne Wang,NA,Family,NA,2005,/wiki/Because_of_Winn-Dixie_(film)
Because of You,Joseph Pevney,NA,Drama,Universal,1952,/wiki/Because_of_You_(film)
Because They're Young,Paul Wendkos,NA,Drama,NA,1960,/wiki/Because_They%27re_Young
Because You're Mine,Alexander Hall,NA,Musical,MGM,1952,/wiki/Because_You%27re_Mine
Becket,Peter Glenville,NA,Drama,NA,1964,/wiki/Becket_(1964_film)
Becky Sharp,NA,NA,Drama,NA,1935,/wiki/Becky_Sharp_(film)
Bed of Roses,Gregory La Cava,NA,Drama,NA,1933,/wiki/Bed_of_Roses_(1933_film)
Bed of Roses,Michael Goldenberg,NA,Romance,NA,1996,/wiki/Bed_of_Roses_(1996_film)
Bedazzled,Harold Ramis,NA,Comedy,NA,2000,/wiki/Bedazzled_(2000_film)
Bedeviled Rabbit,NA,Bugs Bunny,Animated,NA,1957,/wiki/Bedeviled_Rabbit
Bedevilled,Mitchell Leisen,NA,Crime,MGM,1955,/wiki/Bedevilled_(1955_film)
Bedknobs and Broomsticks,Robert Stevenson,NA,"musical, fantasy",Disney,1971,/wiki/Bedknobs_and_Broomsticks
Bedlam,Mark Robson,NA,Thriller,RKO,1946,/wiki/Bedlam_(film)
Bedside,Robert Florey,NA,Drama,NA,1934,/w/index.php?title=Bedside&action=edit&redlink=1
Bedtime for Bonzo,Frederick de Cordova,Ronald Reagan,Comedy,NA,1951,/wiki/Bedtime_for_Bonzo
Bedtime Stories,Adam Shankman,NA,"Family, Fantasy",Walt Disney Pictures,2008,/wiki/Bedtime_Stories_(film)
Bedtime Story,Alexander Hall,NA,Comedy,Columbia,1941,/wiki/Bedtime_Story_(1941_film)
Bedtime Story,Ralph Levy,NA,Comedy,Universal,1964,/wiki/Bedtime_Story_(1964_film)
Bee Movie,NA,NA,Animation,DreamWorks Animation,2007,/wiki/Bee_Movie
Bee Season,NA,NA,Drama,NA,2005,/wiki/Bee_Season_(film)
Beep Prepared,Chuck Jones,NA,Animated,NA,1961,/wiki/Beep_Prepared
Beer,Patrick Kelly,NA,Comedy,Orion,1985,/wiki/Beer_(film)
Beer Barrel Polecats,Jules White,Three Stooges,Short,Columbia,1946,/wiki/Beer_Barrel_Polecats
Beer for My Horses,Michael Salomon,NA,Comedy,Scrags Interactive,2008,/wiki/Beer_for_My_Horses_(film)
Beerfest,Jay Chandrasekhar,NA,Comedy,NA,2006,/wiki/Beerfest
Beethoven,Brian Levant,NA,Family,5 sequels,1992,/wiki/Beethoven_(film)
Beethoven's 2nd,Rod Daniel,NA,Family,NA,1993,/wiki/Beethoven%27s_2nd
Beetlejuice,Tim Burton,NA,"Comedy, Fantasy",NA,1988,/wiki/Beetlejuice
Before and After,Barbet Schroeder,NA,"Drama, Thriller",NA,1996,/wiki/Before_and_After_(film)
Before I Hang,Nick Grinde,NA,NA,Columbia,1940,/wiki/Before_I_Hang
Before I Wake,Alfred Rogell,NA,Mystery,NA,1954,/wiki/Before_I_Wake_(1954_film)
Before Night Falls,Julian Schnabel,NA,Biography,NA,2000,/wiki/Before_Night_Falls_(film)
Before Stonewall,Greta Schiller,NA,Documentary,NA,1984,/wiki/Before_Stonewall
Before Sunrise,Richard Linklater,NA,Romance,NA,1995,/wiki/Before_Sunrise
Before Sunset,Richard Linklater,NA,Drama,NA,2004,/wiki/Before_Sunset
Before the Devil Knows You're Dead,Sidney Lumet,NA,Crime drama,NA,2007,/wiki/Before_the_Devil_Knows_You%27re_Dead
"Beg, Borrow or Steal",Leonard Lee,NA,Comedy,MGM,1937,"/wiki/Beg,_Borrow_or_Steal"
Beggars in Ermine,Phil Rosen,NA,Drama,NA,1934,/wiki/Beggars_in_Ermine
Beginners,Mike Mills,NA,Drama,Focus Features,2011,/wiki/Beginners
Beginning of the End,Bert I. Gordon,NA,Sci-fi,Republic,1957,/wiki/Beginning_of_the_End_(film)
Behave Yourself!,George Beck,NA,Comedy,RKO,1951,/wiki/Behave_Yourself!
Behind City Lights,John English,NA,Drama,NA,1945,/wiki/Behind_City_Lights
Behind Enemy Lines,Gideon Amir,NA,Action,NA,1986,/wiki/Behind_Enemy_Lines_(1986_film)
Behind Enemy Lines,John Moore,NA,War,NA,2001,/wiki/Behind_Enemy_Lines_(2001_film)
Behind Green Lights,Otto Brower,NA,Drama,20th Century Fox,1946,/wiki/Behind_Green_Lights
Behind Locked Doors,Budd Boetticher,NA,Film noir,Eagle-Lion,1948,/wiki/Behind_Locked_Doors
Behind Office Doors,Melville W. Brown,NA,Drama,NA,1931,/wiki/Behind_Office_Doors
Behind Prison Gates,Charles Barton,NA,Crime,Columbia,1939,/w/index.php?title=Behind_Prison_Gates&action=edit&redlink=1
Behind the High Wall,Abner Biberman,NA,Film noir,Universal,1956,/wiki/Behind_the_High_Wall
Behind the Mask,John Francis Dillon,NA,"Drama, Horror",Columbia,1932,/wiki/Behind_the_Mask_(1932_film)
Behind the Mask,Phil Karlson,NA,Mystery,Monogram,1946,/wiki/Behind_the_Mask_(1946_film)
Behind the Mask: The Rise of Leslie Vernon,Scott Glosserman,NA,Mockumentary,NA,2006,/wiki/Behind_the_Mask:_The_Rise_of_Leslie_Vernon
Behind the News,Joseph Santley,NA,Drama,NA,1940,/wiki/Behind_the_News_(film)
Behold a Pale Horse,Fred Zinnemann,NA,Drama,Columbia,1964,/wiki/Behold_a_Pale_Horse_(film)
Behold My Wife!,Mitchell Leisen,NA,"Comedy, Drama",NA,1934,/wiki/Behold_My_Wife!_(1934_film)
Being John Malkovich,Spike Jonze,NA,Comedy,NA,1999,/wiki/Being_John_Malkovich
Being There,Hal Ashby,NA,Comedy,NA,1979,/wiki/Being_There
Bela Lugosi Meets a Brooklyn Gorilla,William Beaudine,NA,Comedy,Realart,1952,/wiki/Bela_Lugosi_Meets_a_Brooklyn_Gorilla
Believe,Loki Mulholland,Larry Bagby,Mockumentary,NA,2007,/wiki/Believe_(2007_film)
"Bell, Book and Candle",Richard Quine,NA,Comedy,Columbia,1958,"/wiki/Bell,_Book_and_Candle"
Bella,Alejandro Gomez Monteverde,NA,Drama,NA,2006,/wiki/Bella_(film)
Belle Le Grand,Allan Dwan,NA,Western,Republic,1951,/wiki/Belle_Le_Grand
Belle of Old Mexico,R. G. Springsteen,NA,Musical/Comedy,Republic Pictures,1950,/wiki/Belle_of_Old_Mexico
Belle of the Nineties,Leo McCarey,NA,"Comedy, Western",NA,1934,/wiki/Belle_of_the_Nineties
Belle of the Yukon,William A. Seiter,NA,Western comedy,RKO,1944,/wiki/Belle_of_the_Yukon
Belle Starr,Irving Cummings,NA,Western,20th Century Fox,1941,/wiki/Belle_Starr_(film)
Belle Starr's Daughter,Lesley Selander,NA,Western,20th Century Fox,1948,/wiki/Belle_Starr%27s_Daughter
Belles on Their Toes,Henry Levin,NA,Comedy,20th Century Fox,1952,/wiki/Belles_on_Their_Toes_(film)
Bells Are Ringing,Vincente Minnelli,NA,Musical comedy,NA,1960,/wiki/Bells_Are_Ringing_(film)
Bells of Capistrano,William Morgan,NA,Western,Republic,1942,/wiki/Bells_of_Capistrano
Bells of Innocence,Alin Bijan,NA,Horror,NA,2003,/wiki/Bells_of_Innocence
Bells of Rosarita,Frank McDonald,NA,Western,Republic,1945,/wiki/Bells_of_Rosarita
Bells of San Fernando,Terry O. Morse,NA,Western,NA,1947,/wiki/Bells_of_San_Fernando
Belly,Hype Williams,NA,Drama,NA,1998,/wiki/Belly_(film)
Beloved,Victor Schertzinger,NA,"Drama, Musical",NA,1934,/wiki/Beloved_(1934_film)
Beloved,Jonathan Demme,NA,Drama,NA,1998,/wiki/Beloved_(film)
Beloved Enemy,H. C. Potter,NA,Drama,United Artists,1936,/wiki/Beloved_Enemy
Beloved Infidel,Henry King,NA,Biography,NA,1959,/wiki/Beloved_Infidel_(film)
Below,David Twohy,NA,"War, Horror",NA,2002,/wiki/Below_(film)
Below the Belt,Robert Fowler,NA,"Comedy, drama",NA,1980,/wiki/Rosalyn_Drexler#Film
Below the Deadline,William Beaudine,NA,Drama,Monogram,1946,/wiki/Below_the_Deadline_(1946_film)
Below the Sea,Albert S. Rogell,NA,Drama,NA,1933,/wiki/Below_the_Sea
Below Utopia,Kurt Voss,NA,Thriller,NA,1997,/wiki/Below_Utopia
Ben,Phil Karlson,NA,Horror,NA,1972,/wiki/Ben_(film)
Ben and Me,Hamilton Luske,NA,Animation,NA,1953,/wiki/Ben_and_Me
Ben-Hur,William Wyler,NA,NA,NA,1959,/wiki/Ben-Hur_(1959_film)
Bend of the River,Anthony Mann,NA,Western,MGM,1952,/wiki/Bend_of_the_River
Beneath the 12-Mile Reef,Robert D. Webb,NA,Adventure,Fox,1953,/wiki/Beneath_the_12-Mile_Reef
Beneath the Planet of the Apes,Ted Post,NA,Science fiction,NA,1970,/wiki/Beneath_the_Planet_of_the_Apes
Beneath the Valley of the Ultra-Vixens,Russ Meyer,NA,Comedy,NA,1979,/wiki/Beneath_the_Valley_of_the_Ultra-Vixens
Beneath Western Skies,Spencer Bennet,NA,Western,Republic,1944,/wiki/Beneath_Western_Skies
Bengal Brigade,Lazlo Benedek,NA,Adventure,NA,1954,/wiki/Bengal_Brigade
Bengal Tiger,Louis King,NA,"Drama, Adventure",Warner Bros.,1936,/wiki/Bengal_Tiger_(1936_film)
Benji,Joe Camp,Patsy Garrett,Family,1st of series,1974,/wiki/Benji_(1974_film)
Benji the Hunted,Joe Camp,NA,NA,Walt Disney Pictures,1987,/wiki/Benji_the_Hunted
Benji: Off the Leash!,Joe Camp,Nick Whitaker,Family,NA,2004,/wiki/Benji:_Off_the_Leash!
Benny & Joon,Jeremiah S. Chechik,NA,Comedy,MGM,1993,/wiki/Benny_%26_Joon
Beowulf,Graham Baker,NA,Fantasy,NA,1999,/wiki/Beowulf_(1999_film)
Beowulf,Robert Zemeckis,NA,Fantasy,NA,2007,/wiki/Beowulf_(2007_film)
Beretta's Island,Michael Preece,Franco Columbu,Drama,NA,1994,/wiki/Beretta%27s_Island
Berkeley Square,Frank Lloyd,NA,Fantasy,NA,1933,/wiki/Berkeley_Square_(film)
Berlin Express,Jacques Tourneur,NA,Film noir,RKO,1948,/wiki/Berlin_Express
Bermuda Mystery,Benjamin Stoloff,NA,Mystery,20th Century Fox,1944,/wiki/Bermuda_Mystery
Bernardine,Henry Levin,NA,Romantic comedy,Fox,1957,/wiki/Bernardine_(film)
Berserker,Jefferson Richard,NA,Horror,NA,1987,/wiki/Berserker_(1987_film)
"Bert Rigby, You're a Fool",Carl Reiner,NA,Musical,Warner Bros.,1989,"/wiki/Bert_Rigby,_You%27re_a_Fool"
Best Boy,Ira Wohl,NA,Documentary,NA,1979,/wiki/Best_Boy_(film)
Best Defense,Willard Huyck,NA,Comedy,Paramount,1984,/wiki/Best_Defense
Best Foot Forward,Edward Buzzell,NA,Musical Comedy,MGM,1943,/wiki/Best_Foot_Forward_(film)
Best Friends,Norman Jewison,NA,Romantic comedy,Warner Bros.,1982,/wiki/Best_Friends_(1982_film)
Best in Show,Christopher Guest,NA,Mockumentary,Warner Bros.,2000,/wiki/Best_in_Show_(film)
Best Laid Plans,Mike Barker,NA,Crime,NA,1999,/wiki/Best_Laid_Plans_(1999_film)
Best Man Wins,John Sturges,NA,Drama,NA,1948,/wiki/Best_Man_Wins
Best Men,Tamra Davis,NA,Comedy,Orion,1997,/wiki/Best_Men
Best of the Badmen,William D. Russell,NA,Western,RKO,1951,/wiki/Best_of_the_Badmen
Best of the Best,Robert Radler,NA,Martial arts,NA,1989,/wiki/Best_of_the_Best_(1989_film)
Best of the Best 2,Robert Radler,NA,Action,NA,1993,/wiki/Best_of_the_Best_2
Best of the Best 3: No Turning Back,Phillip Rhee,NA,Martial arts,NA,1996,/wiki/Best_of_the_Best_3:_No_Turning_Back
Best Seller,John Flynn,NA,Crime drama,Orion,1987,/wiki/Best_Seller
Betrayal from the East,William A. Berke,NA,War,RKO,1945,/wiki/Betrayal_from_the_East
Betrayed,Gottfried Reinhardt,NA,Drama,MGM,1954,/wiki/Betrayed_(1954_film)
Betrayed,Costa Gavras,NA,Crime drama,NA,1988,/wiki/Betrayed_(1988_film)
Betsy's Wedding,Alan Alda,NA,Comedy,NA,1990,/wiki/Betsy%27s_Wedding
Better Late Than Never,Bryan Forbes,NA,Comedy,NA,1983,/wiki/Better_Late_Than_Never_(film)
Better Luck Tomorrow,Justin Lin,NA,Crime drama,NA,2002,/wiki/Better_Luck_Tomorrow
Better Off Dead,Savage Steve Holland,NA,Comedy,Warner Bros.,1985,/wiki/Better_Off_Dead_(film)
Between Heaven and Hell,Richard Fleischer,NA,War,20th Century Fox,1956,/wiki/Between_Heaven_and_Hell_(film)
Between Midnight and Dawn,Gordon Douglas,NA,Crime thriller,Columbia,1950,/wiki/Between_Midnight_and_Dawn
Between the Lines,Joan Micklin Silver,NA,Drama,NA,1977,/wiki/Between_the_Lines_(1977_film)
Between Two Women,Willis Goldbeck,NA,Drama,MGM,1945,/wiki/Between_Two_Women_(1945_film)
Between Two Worlds,Edward A. Blatt,NA,Mystery,Warner Bros.,1944,/wiki/Between_Two_Worlds_(film)
Between Us Girls,Henry Koster,NA,Comedy,NA,1942,/wiki/Between_Us_Girls
Beverly Hills Brats,Jim Sotos,NA,Comedy,NA,1989,/wiki/Beverly_Hills_Brats
Beverly Hills Chihuahua,Raja Gosnell,NA,Comedy,Walt Disney Pictures,2008,/wiki/Beverly_Hills_Chihuahua
Beverly Hills Cop,Martin Brest,NA,Comedy,1984 top-grossing film; 2 sequels,1984,/wiki/Beverly_Hills_Cop
Beverly Hills Cop II,Tony Scott,NA,"Action, Comedy",NA,1987,/wiki/Beverly_Hills_Cop_II
Beverly Hills Cop III,John Landis,NA,"Action, Comedy",NA,1994,/wiki/Beverly_Hills_Cop_III
Beverly Hills Ninja,Dennis Dugan,NA,Comedy,TriStar,1997,/wiki/Beverly_Hills_Ninja
Beware,Bud Pollard,NA,Drama,NA,1946,/wiki/Beware_(film)
Beware of Blondie,Edward Bernds,NA,Comedy,NA,1950,/wiki/Beware_of_Blondie
Beware Spooks!,Edward Sedgwick,NA,Comedy,Columbia,1939,/w/index.php?title=Beware_Spooks!&action=edit&redlink=1
"Beware, My Lovely",Harry Horner,NA,Film noir,RKO,1952,"/wiki/Beware,_My_Lovely"
Beware! The Blob,Larry Hagman,NA,Sci-fi,NA,1972,/wiki/Beware!_The_Blob
Bewitched,Arch Oboler,NA,Comedy,NA,1945,/wiki/Bewitched_(1945_film)
Bewitched,Nora Ephron,NA,Comedy,NA,2005,/wiki/Bewitched_(2005_film)
Beyond a Reasonable Doubt,Fritz Lang,NA,Film noir,NA,1956,/wiki/Beyond_a_Reasonable_Doubt_(1956_film)
Beyond a Reasonable Doubt,Peter Hyams,NA,Drama,NA,2009,/wiki/Beyond_a_Reasonable_Doubt_(2009_film)
Beyond Belief,Beth Murphy,NA,Documentary,NA,2007,/wiki/Beyond_Belief_(2007_film)
Beyond Borders,Martin Campbell,NA,"Romance, War",NA,2003,/wiki/Beyond_Borders_(film)
Beyond Conviction,Rachel Libert,the healing and resolution of three crime victims,Documentary,NA,2006,/wiki/Beyond_Conviction
Beyond Glory,John Farrow,NA,Drama,NA,1948,/wiki/Beyond_Glory
Beyond Mombasa,George Marshall,NA,Adventure,NA,1956,/wiki/Beyond_Mombasa
Beyond Rangoon,John Boorman,NA,"Biography, Drama",based on a true story,1995,/wiki/Beyond_Rangoon
Beyond Reason,Telly Savalas,NA,Drama,NA,1977,/wiki/Beyond_Reason_(1977_film)
Beyond the Blue Horizon,Alfred Santell,NA,Adventure,Paramount,1942,/wiki/Beyond_the_Blue_Horizon_(film)
Beyond the Caribbean,NA,NA,"Drama, Adventure",NA,1936,/w/index.php?title=Beyond_the_Caribbean&action=edit&redlink=1
Beyond the Door,Ovidio G. Assonitis,Juliet Mills,Horror,NA,1974,/wiki/Beyond_the_Door_(1974_film)
Beyond the Forest,King Vidor,NA,Drama,Warner Bros.,1949,/wiki/Beyond_the_Forest
Beyond the Mat,Barry W. Blaustein,NA,Documentary,NA,1999,/wiki/Beyond_the_Mat
Beyond the Poseidon Adventure,Irwin Allen,NA,Action,NA,1979,/wiki/Beyond_the_Poseidon_Adventure
Beyond the Sacramento,Lambert Hillyer,NA,Western,NA,1940,/w/index.php?title=Beyond_the_Sacramento&action=edit&redlink=1
Beyond the Sea,Kevin Spacey,NA,Biography,NA,2004,/wiki/Beyond_the_Sea_(film)
Beyond the Stars,David Saperstein,NA,Drama,NA,1989,/wiki/Beyond_the_Stars
Beyond the Time Barrier,Edgar G. Ulmer,NA,Sci-fi,A.I.P.,1960,/wiki/Beyond_the_Time_Barrier
Beyond the Valley of the Dolls,Russ Meyer,NA,Sex comedy,NA,1970,/wiki/Beyond_the_Valley_of_the_Dolls
Beyond Therapy,Robert Altman,NA,Comedy,New World Pictures,1987,/wiki/Beyond_Therapy_(film)
Beyond Tomorrow,A. Edward Sutherland,NA,Fantasy,RKO,1940,/wiki/Beyond_Tomorrow_(film)
Bhowani Junction,George Cukor,NA,Drama,MGM,1956,/wiki/Bhowani_Junction_(film)
Bicentennial Man,Chris Columbus,NA,Science fiction,NA,1999,/wiki/Bicentennial_Man_(film)
Bickford Shmeckler's Cool Ideas,Scott Lew,NA,Comedy,NA,2006,/wiki/Bickford_Shmeckler%27s_Cool_Ideas
Big,Penny Marshall,NA,Comedy,NA,1988,/wiki/Big_(film)
Big Bad Love,Arliss Howard,NA,Drama,NA,2001,/wiki/Big_Bad_Love
Big Bad Mama,Steve Carver,NA,Action,New World,1974,/wiki/Big_Bad_Mama
Big Bad Wolf,Lance W. Dreesen,NA,Horror,NA,2006,/wiki/Big_Bad_Wolf_(2006_film)
Big Boy,Alan Crosland,NA,Musical,NA,1930,/wiki/Big_Boy_(film)
Big Brown Eyes,Raoul Walsh,NA,"Comedy, Mystery",Paramount,1936,/wiki/Big_Brown_Eyes
Big Bully,Steve Miner,NA,Comedy,NA,1996,/wiki/Big_Bully_(film)
Big Business,Jim Abrahams,NA,Comedy,Touchstone Films,1988,/wiki/Big_Business_(1988_film)
Big Business Girl,William A. Seiter,NA,Romance,NA,1931,/wiki/Big_Business_Girl
Big City,Frank Borzage,NA,"Comedy, Drama",MGM,1937,/wiki/Big_City_(1937_film)
Big City,Norman Taurog,NA,Drama,NA,1948,/wiki/Big_City_(1948_film)
Big City Blues,Mervyn LeRoy,NA,Drama,Warner Bros.,1932,/wiki/Big_City_Blues_(1932_film)
Big Daddy,Dennis Dugan,NA,Comedy,NA,1999,/wiki/Big_Daddy_(1999_film)
Big Dreams Little Tokyo,David Boyle,David Boyd,Comedy,NA,2006,/wiki/Big_Dreams_Little_Tokyo
Big Fan,Robert D. Siegel,NA,Drama,First Independent Pictures,2009,/wiki/Big_Fan
Big Fat Liar,Shawn Levy,NA,"Comedy, Family",NA,2002,/wiki/Big_Fat_Liar
Big Fish,Tim Burton,NA,NA,NA,2003,/wiki/Big_Fish
Big House Bunny,Friz Freleng,Looney Tunes,Animation,NA,1950,/wiki/Big_House_Bunny
"Big House, U.S.A.",Howard W. Koch,NA,Crime,United Artists,1955,"/wiki/Big_House,_U.S.A."
Big Jack,Richard Thorpe,NA,Drama,Beery's final film,1949,/wiki/Big_Jack_(film)
Big Jake,George Sherman,NA,western,National General,1971,/wiki/Big_Jake_(film)
Big Jim McLain,Edward Ludwig,NA,Drama,Warner Bros.,1952,/wiki/Big_Jim_McLain
Big Leaguer,Robert Aldrich,NA,Comedy,MGM,1953,/wiki/Big_Leaguer
Big Momma's House,Raja Gosnell,NA,Comedy,20th Century Fox,2000,/wiki/Big_Momma%27s_House
Big Momma's House 2,John Whitesell,Martin Lawrence,Comedy,NA,2006,/wiki/Big_Momma%27s_House_2
"Big Mommas: Like Father, Like Son",John Whitesell,NA,"Comedy, Crime",NA,2011,"/wiki/Big_Mommas:_Like_Father,_Like_Son"
Big Money Rustlas,Paul Andresen,NA,"Comedy, Western",NA,2010,/wiki/Big_Money_Rustlas
Big Night,NA,NA,Drama,NA,1996,/wiki/Big_Night
Big Red,Norman Tokar,Walter Pidgeon,Family,Disney,1962,/wiki/Big_Red_(film)
Big Time,Chris Blum,Tom Waits,Concert film,NA,1988,/wiki/Big_Time_(1988_film)
Big Top Bunny,Robert McKimson,Looney Tunes,Animation,NA,1951,/wiki/Big_Top_Bunny
Big Top Pee-wee,Randal Kleiser,NA,Comedy,NA,1988,/wiki/Big_Top_Pee-wee
Big Town,William C. Thomas,NA,Crime,Paramount,1947,/wiki/Big_Town_(film)
Big Town After Dark,William C. Thomas,NA,Crime,NA,1947,/wiki/Big_Town_After_Dark
